Actual Proof;11;11;0;0
Aerie, The;13;13;0;0
Ain't That Peculiar;15;15;0;0
photo of Eddie Daniels;18;19;-1;-1
Aja's Theme;19;20;0;-1
photo of Jim McNeely;19;21;-1;-2
Almost Like Being In Love;20;22;0;-2
American Gothic;21;23;0;-2
And It All Goes Round;23;25;0;-2
Another Star;25;27;0;-2
Another Time;27;29;0;-2
Appointment In Ghana;29;31;0;-2
Arietas;32;34;0;-2
Autumn Serenade;35;37;0;-2
B-Sting;37;39;0;-2
Baby Come To Me;41;43;0;-2
Backstage Sally;43;45;0;-2
photo of Jackie McLean;44;47;-1;-3
Ballad For Doll, A;45;48;0;-3
Ballad For Two Musicians;46;49;0;-3
Bird Of Beauty;50;53;0;-3
photo of Wayne Shorter;51;55;-1;-4
Black Nile;52;56;0;-4
Blue Moon;53;57;0;-4
Blue Spirits;55;59;0;-4
photo of Chet Baker;58;63;-1;-5
Blue Tuesday;59;64;0;-5
Body And Soul;60;65;0;-5
photo of Sam Jones;61;67;-1;-6
Brothers Of The Bottom Row;62;68;0;-6
Bu's Delight;63;69;0;-6
Bud Powell;67;73;0;-6
Butterfly;69;75;0;-6
Can't Stop The Wind;71;77;0;-6
Caravan;77;83;0;-6
photo of Lee Morgan;78;85;-1;-7
Ceora;79;86;0;-7
Chairs And Children;80;87;0;-7
Chick's Tune;82;89;0;-7
Circular Motion;84;91;0;-7
photo of Maria Schneider;86;94;-1;-8
Cirrus;87;95;0;-8
Close Your Eyes;91;99;0;-8
Cool Green;92;100;0;-8
Creepin';93;101;0;-8
photo of Bobby Hutcherson;94;103;-1;-9
D Minor Mint;95;104;0;-9
Cynthia;96;105;0;-9
Daddy's Girl Cynthia;96;105;0;-9
Dancing In The Street;98;107;0;-9
Darius Dance;100;109;0;-9
Day Dream;102;111;0;-9
Dexter;103;112;0;-9
photo of Dexter Gordon;103;113;-1;-10
Dienda;104;114;0;-10
Divertamento;105;115;0;-10
photo of Tony Williams;106;117;-1;-11
Dolphin Dance;107;118;0;-11
Don't Ask Why;108;119;0;-11
Don't Be That Way;109;120;0;-11
Don't Blame Me;110;121;0;-11
Double Up, The;111;122;0;-11
Dreamin;112;123;0;-11
photo of Sky Evergreen;113;125;-1;-12
El Gaucho;114;126;0;-12
Emily;115;127;0;-12
Everything I Have Is Yours;116;128;0;-12
Fall With Me;117;129;0;-12
photo of Al Cohn;118;131;-1;-13
For All We Know;119;132;0;-13
Freedomland;120;133;0;-13
From Day To Day;122;135;0;-13
photo of Mulgrew Miller;123;137;-1;-14
Gentle Rain, The;124;138;0;-14
Get Ready;125;139;0;-14
photo of Maria Schneider;126;141;-1;-15
Ghost Of A Chance, A;127;142;0;-15
Grand Central;128;143;0;-15
Gush;130;145;0;-15
Hard Eights;134;149;0;-15
Heat Wave;136;151;0;-15
Herzog;138;153;0;-15
photo of Allan Holdsworth;139;155;-1;-16
Hold On I'm Coming;140;156;0;-16
How Sweet It Is;141;157;0;-16
I Can't Help It;143;159;0;-16
photo of Miles Davis;144;161;-1;-17
I Fall In Love Too Easily;145;162;0;-17
I Got It Bad;146;163;0;-17
photo of John Coltrane;147;165;-1;-18
I Hear A Rhapsody;148;166;0;-18
I Heard It Through The Grapevine;149;167;0;-18
I Wanted To Say;153;171;0;-18
I'm Getting Sentimental Over You;154;172;0;-18
I'm Losing You;155;173;0;-18
I'm Through With Love;157;175;0;-18
If You Could See Me Now;159;177;0;-18
photo of Duke Ellington;160;179;-1;-19
In A Mellow Tone;161;180;0;-19
In A Sentimental Mood;162;181;0;-19
In Case You Missed It;164;183;0;-19
In Love With Night;167;186;0;-19
Inner Urge;168;187;0;-19
Invitation;170;189;0;-19
Isoar;172;191;0;-19
photo of Joe Henderson;173;193;-1;-20
Isotope;174;194;0;-20
It Always Is;175;195;0;-20
Jean De Fleur;179;199;0;-20
Jitterbug Waltz, The;181;201;0;-20
John's Waltz;182;202;0;-20
Just Friends;183;203;0;-20
Just Squeeze Me;184;204;0;-20
photo of Bobby Hutcherson;184;205;-1;-21
Just You Just Me;185;206;0;-21
Kahlil The Prophet;186;207;0;-21
Knock On Wood;188;209;0;-21
photo of Larry Dunlap & Bobbe Norris;189;211;-1;-22
Lamp Is Low, The;190;212;0;-22
Last Nite;191;213;0;-22
Last Season;195;217;0;-22
photo of Lee Morgan;198;221;-1;-23
Aura;199;222;0;-23
Lets Stay Together;200;223;0;-23
Litha;202;225;0;-23
Lonely Woman;204;227;0;-23
Look At The Birdie;206;229;0;-23
photo of Abdullah Ibrahim (Dollar Brand);207;231;-1;-24
Love Letter;208;232;0;-24
Love's Haunts;209;233;0;-24
photo of Rahsaan Roland Kirk;212;237;-1;-25
Lullaby In Rhythm;213;238;0;-25
Maiden Voyage;214;239;0;-25
Mamacita;216;241;0;-25
Man Facing. North;220;245;0;-25
Metamorphosis;224;249;0;-25
photo of Horace Silver;226;252;-1;-26
Midnight Silence;227;253;0;-26
Monk On The Run;229;255;0;-26
Moon And Sand;233;259;0;-26
photo of Benny Carter & Duke Ellington;234;261;-1;-27
Moonglow;235;262;0;-27
photo of Milt Hinton;235;263;-1;-28
Moonlight Serenade;236;264;0;-28
My Girl;237;265;0;-28
Never Said (Chan's Song);239;267;0;-28
New Boots;241;269;0;-28
Next Future;243;271;0;-28
No Way Out;245;273;0;-28
Nowhere To Run;249;277;0;-28
Off Flow;251;279;0;-28
On Green Dolphin Street;255;283;0;-28
One Bird One Stone;257;285;0;-28
photo of Herbie Hancock;260;289;-1;-29
One Finger Snap;261;290;0;-29
Ooo Baby Baby;262;291;0;-29
Opus De Funk;264;293;0;-29
Out A Day;266;295;0;-29
photo of Eric Dolphy;266;296;-1;-30
Over The Rainbow;267;297;0;-30
Part-Time Lover;269;299;0;-30
Pendulum;273;303;0;-30
Prelude To A Kiss;274;304;0;-30
Promise;275;305;0;-30
Punjab;277;307;0;-30
Pyramid;279;309;0;-30
photo of Horace Silver;280;311;-1;-31
Question Mark;281;312;0;-31
Rainland;282;313;0;-31
photo of Mary Lou Williams;284;316;-1;-32
Reach Out, I'll Be There;287;319;0;-32
Real Life;289;321;0;-32
photo of Jerry Bergonzi;290;323;-1;-33
Red's Blues;291;324;0;-33
Relentless;292;325;0;-33
Respect;294;327;0;-33
Revelation;296;329;0;-33
Riddles;300;333;0;-33
Ritual;302;335;0;-33
Ruby;304;337;0;-33
Sail Away;306;339;0;-33
photo of The Yellowjackets;307;341;-1;-34
Second Time Around, The;308;342;0;-34
Serenata;309;343;0;-34
photo of Ella Fitzgerald;310;345;-1;-35
Shadow Of Your Smile, The;311;346;0;-35
Short Story;312;347;0;-35
Since We Met;314;349;0;-35
photo of Stevie Wonder;315;351;-1;-36
Smile Please;316;352;0;-36
So Near So Far;317;353;0;-36
photo of Freddie Hubbard;318;355;-1;-37
Solitude;319;356;0;-37
Speak Like A Child;320;357;0;-37
Spring Is Here;322;359;0;-37
Stairway To The Stars;323;360;0;-37
Star Eyes;324;361;0;-37
"photo of Julian ""CannonBall"" Adderley";325;363;-1;-38
Stars Fell On Alabama;326;364;0;-38
Steepian Faith;327;365;0;-38
Step Lightly;329;367;0;-38
Stompin' At The Savoy;331;369;0;-38
Street Of Dreams;332;370;0;-38
Sub Aqua;333;371;0;-38
photo of Sonny Rollins;336;375;-1;-39
Sugar;337;376;0;-39
Super Blue;338;377;0;-39
Sweet Lorraine;340;379;0;-39
Sweet Love;342;381;0;-39
Taking A Chance On Love;344;383;0;-39
photo of John Contrane;344;384;-1;-40
That Girl;345;385;0;-40
photo of Art Blakey;348;389;-1;-41
That Old Feeling (Standard Version);349;390;0;-41
That Old Feeling;350;391;0;-41
There's A Lull In My Life;352;393;0;-41
34 Skidoo;354;395;0;-41
This Is New;355;396;0;-41
Tiny Capers;356;397;0;-41
Tokyo Dream;358;399;0;-41
Too High;362;403;0;-41
photo of Wayne Shorter;365;407;-1;-42
Toy Tune;366;408;0;-42
Tracks Of My Tears, The;367;409;0;-42
Tuzz's Shadow;369;411;0;-42
Used To Be A Cha-Cha;371;413;0;-42
photo of Roy Eldridge;372;415;-1;-43
Walk Of The Negress;373;416;0;-43
Warm Valley;374;417;0;-43
Wee;375;418;0;-43
What Are You Doing The Rest Of Your Life;376;419;0;-43
What's Going On?;378;421;0;-43
What's Love Got To Do With It;380;423;0;-43
When I Look In Your Eyes;382;425;0;-43
When Lights Are Low;384;427;0;-43
Where Are You?;386;429;0;-43
You Are So Beautiful;387;430;0;-43
You Must Believe In Spring;388;431;0;-43
You Stepped Out Of A Dream;390;433;0;-43
You've Changed;391;434;0;-43