Angry,51,Blues/Dixieland/Jazz
Anthropology,56,Blues/Dixieland/Jazz
Avalon,64,Blues/Dixieland/Jazz
"Baby, Won't You Please Come Home",69,Blues/Dixieland/Jazz
Back Bay Shuffle,71,Blues/Dixieland/Jazz
Ballin’ the Jack,72,Blues/Dixieland/Jazz
Basin Street Blues,75,Blues/Dixieland/Jazz
"Beat Me Daddy, Eight to the Bar",78,Blues/Dixieland/Jazz
Bell Bottom Blues,81,Blues/Dixieland/Jazz
The Birth of the Blues,88,Blues/Dixieland/Jazz
Blue Prelude,95,Blues/Dixieland/Jazz
Bluesette,96,Blues/Dixieland/Jazz
(The Original) Boogie Woogie,100,Blues/Dixieland/Jazz
Boogie Woogie Bugle Boy,100,Blues/Dixieland/Jazz
Bugle Call Rag,108,Blues/Dixieland/Jazz
Bye Bye Blackbird,113,Blues/Dixieland/Jazz
Caldonia (What Makes Your Big Head So Hard?),115,Blues/Dixieland/Jazz
Cast Your Fate to the Wind,126,Blues/Dixieland/Jazz
Chicago (That Toddlin’ Town),131,Blues/Dixieland/Jazz
Come Sunday,144,Blues/Dixieland/Jazz
Confessin’ the Blues,145,Blues/Dixieland/Jazz
Daddy,157,Blues/Dixieland/Jazz
Dardanella,164,Blues/Dixieland/Jazz
‘Deed I Do,168,Blues/Dixieland/Jazz
Dinah,172,Blues/Dixieland/Jazz
Do Nothin’ till You Hear from Me,172,Blues/Dixieland/Jazz
Don’t Get Around Much Anymore,179,Blues/Dixieland/Jazz
Don't Sit under the Apple Tree (With Anyone Else but Me),185,Blues/Dixieland/Jazz
Ev'ry Time We Say Goodbye,202,Blues/Dixieland/Jazz
Everybody Loves My Baby (But My Baby Don’t Love Nobody but Me),203,Blues/Dixieland/Jazz
Fever,207,Blues/Dixieland/Jazz
God Bless’ the Child,236,Blues/Dixieland/Jazz
Gravy Waltz,243,Blues/Dixieland/Jazz
Hard Hearted Hannah (The Vamp of Savannah),258,Blues/Dixieland/Jazz
I Gotta Right to Sing the Blues,307,Blues/Dixieland/Jazz
I Let a Song Go Out of My leart,313,Blues/Dixieland/Jazz
I Mean You,319,Blues/Dixieland/Jazz
I'll Remember April,337,Blues/Dixieland/Jazz
I’m Gonna Sit Right Down and Write Myself a Letter,345,Blues/Dixieland/Jazz
Is That All There Is,370,Blues/Dixieland/Jazz
Is You Is,or Is You Ain’t (Ma’ Baby),372, Blues/Dixieland/Jazz
The Jazz-Me Blues,397,Blues/Dixieland/Jazz
Leap Frog,418,Blues/Dixieland/Jazz
Lover Man (Oh,Where Can You Be?),454, Blues/Dixieland/Jazz
Lush Life,462,Blues/Dixieland/Jazz
The Man That Got Away,471,Blues/Dixieland/Jazz
Manhattan,473,Blues/Dixieland/Jazz
Milenberg Joys,485,Blues/Dixieland/Jazz
Milestones,488,Blues/Dixieland/Jazz
Misty,491,Blues/Dixieland/Jazz
Moonlight on the Ganges,498,Blues/Dixieland/Jazz
My Shawl,518,Blues/Dixieland/Jazz
A Night in Tunisia,526,Blues/Dixieland/Jazz
No Moon at All,530,Blues/Dixieland/Jazz
The Old Piano Roll Blues,537,Blues/Dixieland/Jazz
One for My Baby (And One More for the Road),546,Blues/Dixieland/Jazz
Opus One,551,Blues/Dixieland/Jazz
Perdido,559,Blues/Dixieland/Jazz
Prelude to a Kiss,573,Blues/Dixieland/Jazz
Prisoner of Love,574,Blues/Dixieland/Jazz
Ragtime Cowboy Joe,579,Blues/Dixieland/Jazz
Rhumboogie,586,Blues/Dixieland/Jazz
Rockin’ Chair,593,Blues/Dixieland/Jazz
Route 66,600,Blues/Dixieland/Jazz
S'posin’,599,Blues/Dixieland/Jazz
Saint James Infirmary,601,Blues/Dixieland/Jazz
St. Louis Blues,672,Blues/Dixieland/Jazz
Salt Peanuts,608,Blues/Dixieland/Jazz
Scrapple from the Apple,614,Blues/Dixieland/Jazz
Spinning Wheel,667,Blues/Dixieland/Jazz
Squeeze Me,670,Blues/Dixieland/Jazz
Star Dust,674,Blues/Dixieland/Jazz
Stompin’ at the Savoy,671,Blues/Dixieland/Jazz
Stormy Weather,680,Blues/Dixieland/Jazz
Sugar Blues,680,Blues/Dixieland/Jazz
Take Five,703,Blues/Dixieland/Jazz
Take the “A” Train,709,Blues/Dixieland/Jazz
A Taste of Honey,714,Blues/Dixieland/Jazz
That’s a Plenty,716,Blues/Dixieland/Jazz
There Will Never Be Another You,724,Blues/Dixieland/Jazz
There'll Be Some Changes Made,725,Blues/Dixieland/Jazz
Things Ain’t What They Used to Be,730,Blues/Dixieland/Jazz
This Could Be the Start of Something,734,Blues/Dixieland/Jazz
This Masquerade,736,Blues/Dixieland/Jazz
Twelfth Street Rag,759,Blues/Dixieland/Jazz
The Wang Wang Blues,779,Blues/Dixieland/Jazz
We're In This Love Together,788,Blues/Dixieland/Jazz
When My Sugar Walks Down the Street,802,Blues/Dixieland/Jazz
When Youte Smiling (The Whole World Smiles with You),805,Blues/Dixieland/Jazz
Who Needs You?,811,Blues/Dixieland/Jazz
Who's Sorry Now,813,Blues/Dixieland/Jazz
Why Don't You Do Right,814,Blues/Dixieland/Jazz
Woodchopper’s Ball,828,Blues/Dixieland/Jazz
Ah! Sweet Mystery of Life— Naughty Marietta,29,Broadway Show Tunes
Alice Blue Gown—Irene,33,Broadway Show Tunes
Any Dream Will Do—Joseph and the Amazing Technicolor Dreamcoat,54,Broadway Show Tunes
As If We Never Said Goodbye—Sunset Boulevard,58,Broadway Show Tunes
Be Kind to Your Parents— Fanny,77,Broadway Show Tunes
The Best Thing for You—Call Me Madam,84,Broadway Show Tunes
Brotherhood of Man—How to Succeed in Business with- out Really Trying,107,Broadway Show Tunes
Brush Up Your Shakespeare—Kiss Me,Kate,107, Broadway Show Tunes
A Bushel and a Peck—Guys and Dolls,111,Broadway Show Tunes
Bye Bye Baby—Gentlemen Prefer Blondes,112,Broadway Show Tunes
Cabaret—Cabaret,114,Broadway Show Tunes
Chinatown,My Chinatown— Up and Down Broadway,136, Broadway Show Tunes
Civilization (Bongo,Bongo, Bongo)—Angel in the Wings,138, Broadway Show Tunes
Close Every Door—Joseph and the Amazing Technicolor Dreamcoat,138,Broadway Show Tunes
The Colour of My Love— Scream,142,Broadway Show Tunes
Day by Day—Godspell,165,Broadway Show Tunes
Diamonds Are a Girl's Best Friend—Gentlemen Prefer Blondes,170,Broadway Show Tunes
Don't Cry for Me Argentina— Evita,178,Broadway Show Tunes
Goodnight My Someone— The Music Man,243,Broadway Show Tunes
The Happy Time—The Happy Time,252,Broadway Show Tunes
Hello,Dolly!—Hello, Dolly!,267, Broadway Show Tunes
I Ain't Down Yet—The Unsinkable Molly Brown,295,Broadway Show Tunes
I Don’t Know How to Love Him—Jesus Christ Superstar,306,Broadway Show Tunes
I Still Get Jealous—High Button Shoes,323,Broadway Show Tunes
I'll Know—Guys and Dolls,335,Broadway Show Tunes
I'll Never Fall In Love Again—Promises,Promises,338, Broadway Show Tunes
If He Walked into My Life— Mame,349,Broadway Show Tunes
If I Were a Bell—Guys and Dolls,354,Broadway Show Tunes
It Only Takes a Moment— Hello,Dolly!,373, Broadway Show Tunes
It’s a Big Wide Wonderful World—All In Fun,379,Broadway Show Tunes
Joey,Joey, Joey—The Most Happy Fella,399, Broadway Show Tunes
Lazy Afternoon—The Golden Apple,422,Broadway Show Tunes
Lida Rose—The Music Man,432,Broadway Show Tunes
Luck Be a Lady—Guys and Dolls,459,Broadway Show Tunes
Mame—Mame,472,Broadway Show Tunes
Manhattan—The Garrick Gaities,473,Broadway Show Tunes
Mr. Wonderful—Mr. Wonderful,500,Broadway Show Tunes
My Darling,My Darling— Where’s Charley?,508, Broadway Show Tunes
My Hero—The Chocolate Soldier,511,Broadway Show Tunes
Oh,Promise Me—Robin Hood .,534, Broadway Show Tunes
Once In Love with Amy— Where’s Charley?,542,Broadway Show Tunes
One—A Chorus Line,544,Broadway Show Tunes
Promises,Promises— Promises, Promises,575, Broadway Show Tunes
Second Hand Rose— Ziegfeld Follies,616,Broadway Show Tunes
Seventy Six Trombones— The Music Man,621,Broadway Show Tunes
She (He) Touched Me—Drat! The Cat!,625,Broadway Show Tunes
Sing for Your Supper—The Boys from Syracuse,638,Broadway Show Tunes
Sit Down You're Rockin’ the Boat—Guys and Dollis,639,Broadway Show Tunes
Standing on the Corner— The Most Happy Fella,670,Broadway Show Tunes
Superstar—Jesus Christ Superstar,690,Broadway Show Tunes
There Is Nothin’ Like a Dame—South Pacific,723,Broadway Show Tunes
Till There Was You—The Music Man,741,Broadway Show Tunes
Tomorrow—Annie,748,Broadway Show Tunes
Too Close for Comfort—Mr. Wonderful,750,Broadway Show Tunes
Waitin’ for the Light to Shine—Big River,774,Broadway Show Tunes
We Need a Little Christmas—Mame,784,Broadway Show Tunes
What I Did for Love—A Chorus Line,794,Broadway Show Tunes
With One Look—Sunset Boulevard,824,Broadway Show Tunes
Be Kind to Your Parents,77,Children’s Songs
The Ballad of Davy Crockett,73,Children’s Songs
Bibbidi-Bobbidi-Boo,86,Children’s Songs
The Candy Man,123,Children’s Songs
Chim Chim Cher-ee,132,Children’s Songs
I'm Late,344,Children’s Songs
The Inch Worm,366,Children’s Songs
It’s a Small World,382,Children’s Songs
Mairzy Doats,464,Children’s Songs
Mickey Mouse March,485,Children’s Songs
The Rainbow Connection,580,Children’s Songs
A Spoonful of Sugar,668,Children’s Songs
To Love a Child,746,Children’s Songs
The Unbirthday Song,763,Children’s Songs
Under the Sea,766,Children’s Songs
Zip-A-Dee-Doo-Dah,860,Children’s Songs
The Christmas Song (Chestnuts Roasting on an Open Fire),136,Christmas/ Inspirational
It Is No Secret (What God Can Do),378,Christmas/ Inspirational
It's Beginning to Look Like Christmas,384,Christmas/ Inspirational
The Lonesome Road,441,Christmas/ Inspirational
The Lord’s Prayer,446,Christmas/ Inspirational
May the Good Lord Bless and Keep You,475,Christmas/ Inspirational
My Sweet Lord,519,Christmas/ Inspirational
Put Your Hand in the Hand,578,Christmas/ Inspirational
We Need a Little Christmas,784,Christmas/ Inspirational
Why Me?,815,Christmas/ Inspirational
Notre Dame Victory March,532,College
On Wisconsin!,542,College
Rambling Wreck from Georgia Tech,584,College
The Sweetheart of Sigma Chi,695,College
All the Gold in California,37,Country
Always On My Mind,46,Country
(Hey,Won't You Play) Another Somebody Done Somebody Wrong Song,277, Country
Cold,Cold Heart,142, Country
Could I Have This Dance,147,Country
Coward of the County,150,Country
Crazy,156,Country
Cryin’ Time,156,Country
Funny How Time Slips Away,223,Country
God Bless the U.S.A.,238,Country
Grandpa (Tell Me ’bout the Good Old Days),242,Country
Green Green Grass of Home,246,Country
Heartaches by the Number,264,Country
Help Me Make It Through the Night,268,Country
Hey,Good Lookin’,275, Country
I Believe In You,297,Country
I Fall to Pieces,304,Country
1.0.U.,374,Country
I Was Country When Country Wasn't Cool,325,Country
I Wouldn't Have Missed It for the World,331,Country
I’m Easy,342,Country
It Was Almost Like a Song,375,Country
Jambalaya,394,Country
King of the Road,405,Country
The Last Word in Lonesome Is Me,414,Country
Lucille,456,Country
Luckenbach,Texas,460, Country
Make the World Go Away,464,Country
Mammas Don't Let Your Babies Grow Up to Be Cowboys,470,Country
(Ghost) Riders in the Sky,587,Country
Scotch and Soda,614,Country
Silver Threads and Golden Needles,633,Country
Snowbird,645,Country
To All the Girls I’ve Loved Before,744,Country
Walking in the Sunshine,779,Country
Welcome to My World,787,Country
What's Forever For,795,Country
Why Me?,815,Country
You Decorated My Life,841,Country
Your Cheatin’ Heart,849,Country
The Hawaiian Wedding Song,261,Hawaiian/Polynesian
The Moon of Manakoora,497,Hawaiian/Polynesian
Now Is the Hour,532,Hawaiian/Polynesian
Sweet Leilani,693,Hawaiian/Polynesian
Ac-cent-tchu-ate the Positive,25,Big Band
All or Nothing at All,41,Big Band
Angel Eyes,50,Big Band
Are You Havin’ Any Fun?,57,Big Band
Avalon,64,Big Band
Baby,It’s Cold Outside,70, Big Band
Back Bay Shuffle,71,Big Band
Basin Street Blues,75,Big Band
Beat Me Daddy,Eight to the Bar,78, Big Band
Between the 18th and 19th on Chestnut Street,83,Big Band
Between the Devil and the Deep Blue Sea,85,Big Band
The Birth of the Blues,88,Big Band
Black Coffee,90,Big Band
Blame It on My Youth,92,Big Band
Blue Champagne,94,Big Band
Blue Prelude,95,Big Band
Boo-Hoo,97,Big Band
Boogie Woogie Bugle Boy,100,Big Band
The Breeze and I,106,Big Band
Breezin’ Along with the Breeze,105,Big Band
Bugle Call Rag,108,Big Band
Crest Si Bon,113,Big Band
Caldonia (What Makes Your Big Head So Hard?),115,Big Band
Careless Hands,124,Big Band
The Continental,146,Big Band
Cruising Down the River,155,Big Band
Cuddle Up a Little Closer,Lovey Mine,157, Big Band
Daddy,157,Big Band
Don't Blame Me,180,Big Band
Don’t Get Around Much Anymore,179,Big Band
Don’t Sit under the Apple Tree (With Anyone Else but Me),185,Big Band
Don't Take Your Love from Me,187,Big Band
Donkey Serenade,189,Big Band
Enjoy Yourself (It’s Later Than You Think),202,Big Band
Ev'ry Time We Say Goodbye,202,Big Band
Everything Happens to Me,206,Big Band
Five Minutes More,210,Big Band
For Every Man There’s a Woman,215,Big Band
(i Love You) For Sentimental Reasons,218,Big Band
Galway Bay,226,Big Band
A Gay Ranchero,228,Big Band
Good Morning Heartache,236,Big Band
Guess I'll Hang My Tears Out to Dry,249,Big Band
Guilty,250,Big Band
Haunted Heart,258,Big Band
Have I Told You Lately That I Love You,259,Big Band
Heartaches,264,Big Band
Hey! Ba-Ba-Re-Bop,273,Big Band
The Honeydripper,284,Big Band
Hooray for Love,288,Big Band
The Hucklebuck,294,Big Band
I Can't Give You Anything but Love,299,Big Band
I Cried for You,304,Big Band
I Don’t Know Enough about You,305,Big Band
I Found a Million Dollar Baby (In a Five and Ten Cent Store),306,Big Band
I Gotta Right to Sing the Blues,307,Big Band
I Let a Song Go Out of My Heart,313,Big Band
I Like the Likes of You,313,Big Band
I See Your Face before Me,321,Big Band
I Still Get Jealous,323,Big Band
I Thought about You,322,Big Band
I Wish You Love,328,Big Band
I Wished on the Moon,329,Big Band
I'll Never Smile Again,336,Big Band
I'll Remember April,337,Big Band
I'll Walk Alone,340,Big Band
I’m a Lonely Little Petunia (In an Onion Patch),341,Big Band
I’m Forever Blowing Bubbles,346,Big Band
I’m Glad There Is You,344,Big Band
I’ve Heard That Song Before,354,Big Band
If I Didn't Care,355,Big Band
In a Shanty in Old Shanty Town,364,Big Band
In Love In Vain,363,Big Band
Indian Summer,368,Big Band
Into Each Life Some Rain Must Fall,368,Big Band
Is It True What They Say about Dixie :,369,Big Band
It Looks Like Rain in Cherry Blossom Lane,371,Big Band
It Only Happens When I Dance with You,380,Big Band
It's a Good Day,380,Big Band
It’s a Pity to Say Goodnight,383,Big Band
It’s Been a Long,Long Time,383, Big Band
It’s the Talk of the Town,389,Big Band
Jim,398,Big Band
Just Because,402,Big Band
Leap Frog,418,Big Band
Let's All Sing Like the Birdies Sing,428,Big Band
Let’s Dance,429,Big Band
Let's Get Away from It All,428,Big Band
Linda,433,Big Band
Little Girl,438,Big Band
Lover Man (Oh,Where Can You Be?),454, Big Band
Mama Inez,468,Big Band
(I\'m Afraid) The Masquerade Is Over,476,Big Band
Mister Five by Five,490,Big Band
The Moon of Manakoora .,497,Big Band
Moon over Miami,497,Big Band
Moonlight on the Ganges,498,Big Band
My Shining Hour,518,Big Band
Nature Boy,524,Big Band
The Night Is Young (And You're So Beautiful),527,Big Band
The Night We Called It a Day,528,Big Band
No Moon at All,530,Big Band
No,Not Much,530, Big Band
Ole Buttermilk Sky,538,Big Band
On a Slow Boat to China,539,Big Band
One for My Baby (And One More for the Road),546,Big Band
Open the Door,Richard!,548, Big Band
Opus One,551,Big Band
The Peanut Vendor,555,Big Band
Perdido,559,Big Band
Pigalle,565,Big Band
Prelude to a Kiss,573,Big Band
Prisoner of Love,574,Big Band
Put the Blame on Mame,577,Big Band
Rhumboogie,586,Big Band
Rosetta,597,Big Band
Route 66,600,Big Band
Saint James Infirmary,601,Big Band
St. Louis Blues,672,Big Band
Salt Peanuts,608,Big Band
Seems Like Old Times,616,Big Band
Sentimental Journey,618,Big Band
Serenade of the Bells,622,Big Band
Shoe Shine Boy,631,Big Band
Shoo Fly Pie and Apple Pan Dowdy,634,Big Band
Sioux City Sue,638,Big Band
Skylark,641,Big Band
Smoke Rings,643,Big Band
Somebody Loves Me,651,Big Band
Somebody Loves You,649,Big Band
Someday (You'll Want Me to Want You),653,Big Band
Song of India,660,Big Band
Soon,664,Big Band
Spring Will Be a Little Late This Year,669,Big Band
Star Dust,674,Big Band
Steppin’ Out with My Baby,675,Big Band
Stompin’ at the Savoy,671,Big Band
Stormy Weather,680,Big Band
Sugar Blues,680,Big Band
A Sunday Kind of Love,690,Big Band
Sunrise Serenade,692,Big Band
Symphony,701,Big Band
T’ain’t What You Do (it’s the Way That Cha Do It),708,Big Band
Take the “A” Train,709,Big Band
Tampico,711,Big Band
Tenderly,715,Big Band
That Old Feeling,718,Big Band
That's My Desire,718,Big Band
There Are Such Things,719,Big Band
There! I’ve Said It Again,722,Big Band
There Is No Greater Love,724,Big Band
There Will Never Be Another You,724,Big Band
There’ll Be Some Changes Made,725,Big Band
There’s No Tomorrow,726,Big Band
Things Ain’t What They Used to Be,730,Big Band
This Love of Mine,730,Big Band
Three Little Words,735,Big Band
Till Then,740,Big Band
Undecided,768,Big Band
Under a Blanket of Blue,764,Big Band
Violets for Your Furs,775,Big Band
We'll Be Together Again,786,Big Band
What a Diff'rence a Day Made,792,Big Band
What Are You Doing New Year's Eve?,792,Big Band
What Do You Do in the Infantry,793,Big Band
What’s New?,799,Big Band
When My Sugar Walks Down the Street,802,Big Band
Whispering,809,Big Band
Who Wouldn't Love You,813,Big Band
Why Don’t We Do This More Often,814,Big Band
Why Don't You Do Right,814,Big Band
Will You Still Be Mine,817,Big Band
With a Song in My Heart,822,Big Band
Without a Song,823,Big Band
Woodchopper’s Ball,828,Big Band
Would You Like to Take a Walk,829,Big Band
Yes Indeed,835,Big Band
You Always Hurt the One You Love,838,Big Band
You Call Everybody Darling,839,Big Band
You Made Me Love You (I Didn't Want to Do It),845,Big Band
You're Breaking My Heart,843,Big Band
Yours,860,Big Band
Along Came Jones,43,Hits of the 1950s
Anema E Core,49,Hits of the 1950s
Angry,51,Hits of the 1950s
Around the World,61,Hits of the 1950s
At the Hop,62,Hits of the 1950s
Autumn Leaves,62,Hits of the 1950s
The Banana Boat Song,73,Hits of the 1950s
A Beautiful Friendship,78,Hits of the 1950s
Belle,Belle (My Liberty Belle),82, Hits of the 1950s
The Birth of the Blues,88,Hits of the 1950s
Black Denim Trousers and Motorcycle Boots,88,Hits of the 1950s
Broken-Hearted Melody,106,Hits of the 1950s
Bye Bye Blackbird,113,Hits of the 1950s
Cara,Mia,123, Hits of the 1950s
Catch a Falling Star,128,Hits of the 1950s
Chain Gang,127,Hits of the 1950s
Changing Partners,128,Hits of the 1950s
Charmaine,129,Hits of the 1950s
Cindy,Oh Cindy,134, Hits of the 1950s
Come Go with Me,143,Hits of the 1950s
Comme Ci,Comme Ca,144, Hits of the 1950s
Count Every Star,152,Hits of the 1950s
Daddy's Little Girl,158,Hits of the 1950s
Dance with Me Henry,159,Hits of the 1950s
Do You Want to Dance?,177,Hits of the 1950s
Don’t Sit under the Apple Tree (With Anyone Else but Me),185,Hits of the 1950s
Dream Lover,190,Hits of the 1950s
Drifting and Dreaming (Sweet Paradise),191,Hits of the 1950s
Dungaree Doll,193,Hits of the 1950s
Early in the Morning,194,Hits of the 1950s
Earth Angel,200,Hits of the 1950s
The End of a Love Affair,198,Hits of the 1950s
The End (Of a Rainbow),198,Hits of the 1950s
Endless Sleep,197,Hits of the 1950s
Fever,207,Hits of the 1950s
Fools Fall In Love,214,Hits of the 1950s
For Your Love,218,Hits of the 1950s
Goodnight My Love,Pleasant Dreams,237, Hits of the 1950s
Graduation Day,241,Hits of the 1950s
The Green Door,246,Hits of the 1950s
The Happy Organ,251,Hits of the 1950s
The Hawaiian Wedding Song,261,Hits of the 1950s
He,262,Hits of the 1950s
Heartbreak Hotel,266,Hits of the 1950s
Honeycomb,285,Hits of the 1950s
The Hot Canary,286,Hits of the 1950s
Hot Diggity (Dog Ziggity Boom),288,Hits of the 1950s
How Much Is That Doggie in the Window,292,Hits of the 1950s
I Left My Heart in San Francisco,315,Hits of the 1950s
I May Never Pass This Way Again,317,Hits of the 1950s
I Wonder Why,330,Hits of the 1950s
(If I Knew You Were Comin’) I'd’ve Baked a Cake,358,Hits of the 1950s
I'm a Fool to Want You,343,Hits of the 1950s
I’m Walking Behind You,347,Hits of the 1950s
It’s All in the Game,382,Hits of the 1950s
It’s Just a Matter of Time,384,Hits of the 1950s
It's So Easy,386,Hits of the 1950s
It's So Nice to Have a Man around the House,390,Hits of the 1950s
Ivory Tower,392,Hits of the 1950s
Jailhouse Rock,392,Hits of the 1950s
Kansas City,408,Hits of the 1950s
Keep A-Knockin’,410,Hits of the 1950s
Kiss of Fire,412,Hits of the 1950s
The Little White Cloud That Cried,438,Hits of the 1950s
Lollipop,441,Hits of the 1950s
Long Tall Sally,445,Hits of the 1950s
Love Me,452,Hits of the 1950s
A Lover's Question,455,Hits of the 1950s
Mambo Italiano,469,Hits of the 1950s
